series_id,description
CES0000000001,"All employees, thousands, total nonfarm, seasonally adjusted"
CES0000000010,"Women employees, thousands, total nonfarm, seasonally adjusted"
CES0000000025,"All employees, quarterly averages, thousands, total nonfarm, seasonally adjusted"
CES0000000026,"All employees, 3-month average change, thousands, total nonfarm, seasonally adjusted"
CES0500000001,"All employees, thousands, total private, seasonally adjusted"
CES0500000002,"Average weekly hours of all employees, total private, seasonally adjusted"
CES0500000003,"Average hourly earnings of all employees, total private, seasonally adjusted"
CES0500000006,"Production and nonsupervisory employees, thousands, total private, seasonally adjusted"
CES0500000007,"Average weekly hours of production and nonsupervisory employees, total private, seasonally adjusted"
CES0500000008,"Average hourly earnings of production and nonsupervisory employees, total private, seasonally adjusted"
CES0500000010,"Women employees, thousands, total private, seasonally adjusted"
CES0500000011,"Average weekly earnings of all employees, total private, seasonally adjusted"
CES0500000012,"Average weekly earnings of all employees, 1982-1984 dollars, total private, seasonally adjusted"
CES0500000013,"Average hourly earnings of all employees, 1982-1984 dollars, total private, seasonally adjusted"
CES0500000016,"Indexes of aggregate weekly hours of all employees, 2007=100, total private, seasonally adjusted"
CES0500000017,"Indexes of aggregate weekly payrolls of all employees, 2007=100, total private, seasonally adjusted"
CES0500000019,"Average weekly hours of all employees, quarterly averages, total private, seasonally adjusted"
CES0500000021,"Diffusion indexes, 1-month span, total private, seasonally adjusted"
CES0500000022,"Diffusion indexes, 3-month span, total private, seasonally adjusted"
CES0500000023,"Diffusion indexes, 6-month span, total private, seasonally adjusted"
CES0500000025,"All employees, quarterly averages, thousands, total private, seasonally adjusted"
CES0500000026,"All employees, 3-month average change, thousands, total private, seasonally adjusted"
CES0500000030,"Average weekly earnings of production and nonsupervisory employees, total private, seasonally adjusted"
CES0500000031,"Average weekly earnings of production and nonsupervisory employees, 1982-84 dollars, total private, seasonally adjusted"
CES0500000032,"Average hourly earnings of production and nonsupervisory employees, 1982-84 dollars, total private, seasonally adjusted"
CES0500000034,"Indexes of aggregate weekly hours of production and nonsupervisory employees, 2002=100, total private, seasonally adjusted"
CES0500000035,"Indexes of aggregate weekly payrolls of production and nonsupervisory employees, 2002=100, total private, seasonally adjusted"
CES0500000036,"Average weekly hours, production/nonsupervisory employees, quarterly averages, total private, seasonally adjusted"
CES0500000056,"Aggregate weekly hours of all employees, thousands, total private, seasonally adjusted"
CES0500000057,"Aggregate weekly payrolls of all employees, thousands, total private, seasonally adjusted"
CES0500000081,"Aggregate weekly hours of production and nonsupervisory employees, thousands, total private, seasonally adjusted"
CES0500000082,"Aggregate weekly payrolls of production and nonsupervisory employees, thousands, total private, seasonally adjusted"
CES0600000001,"All employees, thousands, goods-producing, seasonally adjusted"
CES0600000002,"Average weekly hours of all employees, goods-producing, seasonally adjusted"
CES0600000003,"Average hourly earnings of all employees, goods-producing, seasonally adjusted"
CES0600000006,"Production and nonsupervisory employees, thousands, goods-producing, seasonally adjusted"
CES0600000007,"Average weekly hours of production and nonsupervisory employees, goods-producing, seasonally adjusted"
CES0600000008,"Average hourly earnings of production and nonsupervisory employees, goods-producing, seasonally adjusted"
CES0600000010,"Women employees, thousands, goods-producing, seasonally adjusted"
CES0600000011,"Average weekly earnings of all employees, goods-producing, seasonally adjusted"
CES0600000012,"Average weekly earnings of all employees, 1982-1984 dollars, goods-producing, seasonally adjusted"
CES0600000013,"Average hourly earnings of all employees, 1982-1984 dollars, goods-producing, seasonally adjusted"
CES0600000016,"Indexes of aggregate weekly hours of all employees, 2007=100, goods-producing, seasonally adjusted"
CES0600000017,"Indexes of aggregate weekly payrolls of all employees, 2007=100, goods-producing, seasonally adjusted"
CES0600000025,"All employees, quarterly averages, thousands, goods-producing, seasonally adjusted"
CES0600000030,"Average weekly earnings of production and nonsupervisory employees, goods-producing, seasonally adjusted"
