series_id,description
CIS1010000000000I,"Total compensation for all civilian workers, current dollar index"
CIS1010000000000Q,"Total compensation for all civilian workers, 3-month percent change, current dollars"
CIS1013000000000I,"Total compensation for civilian workers in the manufacturing industry, current dollar index"
CIS1013000000000Q,"Total compensation for civilian workers in the manufacturing industry, 3-month percent change, current dollars"
CIS1016000000000I,"Total compensation for civilian workers in the education and health services industry, current dollar index"
CIS1016000000000Q,"Total compensation for civilian workers in the education and health services industry, 3-month percent change, current dollars"
CIS1016100000000I,"Total compensation for civilian workers in the educational services industry, current dollar index"
CIS1016100000000Q,"Total compensation for civilian workers in the educational services industry, 3-month percent change, current dollars"
CIS1016110000000I,"Total compensation for civilian workers in the elementary and secondary schools industry, current dollar index"
CIS1016110000000Q,"Total compensation for civilian workers in the elementary and secondary schools industry, 3-month percent change, current dollars"
CIS1016120000000I,"Total compensation for civilian workers in the junior colleges, colleges, and universities industry, current dollar index"
CIS1016120000000Q,"Total compensation for civilian workers in the junior colleges, colleges, and universities industry, 3-month percent change, current dollars"
CIS1016200000000I,"Total compensation for civilian workers in the health care and social assistance industry, current dollar index"
CIS1016200000000Q,"Total compensation for civilian workers in the health care and social assistance industry, 3-month percent change, current dollars"
CIS1016220000000I,"Total compensation for civilian workers in the hospitals industry, current dollar index"
CIS1016220000000Q,"Total compensation for civilian workers in the hospitals industry, 3-month percent change, current dollars"
CIS1016230000000I,"Total compensation for civilian workers in the nursing and residential care facilities industry, current dollar index"
CIS1016230000000Q,"Total compensation for civilian workers in the nursing and residential care facilities industry, 3-month percent change, current dollars"
CIS1019200000000I,"Total compensation for civilian workers in the public administration industry, current dollar index"
CIS1019200000000Q,"Total compensation for civilian workers in the public administration industry, 3-month percent change, current dollars"
CIS101G000000000I,"Total compensation for civilian workers in the goods-producing industries, current dollar index"
CIS101G000000000Q,"Total compensation for civilian workers in the goods-producing industries, 3-month percent change, current dollars"
CIS101S000000000I,"Total compensation for civilian workers in the service-providing industries, current dollar index"
CIS101S000000000Q,"Total compensation for civilian workers in the service-providing industries, 3-month percent change, current dollars"
CIS1020000000000I,"Wages and salaries for all civilian workers, current dollar index"
CIS1020000000000Q,"Wages and salaries for all civilian workers, 3-month percent change, current dollars"
CIS1023000000000I,"Wages and salaries for civilian workers in the manufacturing industry, current dollar index"
CIS1023000000000Q,"Wages and salaries for civilian workers in the manufacturing industry, 3-month percent change, current dollars"
CIS1026000000000I,"Wages and salaries for civilian workers in the education and health services industry, current dollar index"
CIS1026000000000Q,"Wages and salaries for civilian workers in the education and health services industry, 3-month percent change, current dollars"
CIS1026100000000I,"Wages and salaries for civilian workers in the educational services industry, current dollar index"
CIS1026100000000Q,"Wages and salaries for civilian workers in the educational services industry, 3-month percent change, current dollars"
CIS1026110000000I,"Wages and salaries for civilian workers in the elementary and secondary schools industry, current dollar index"
CIS1026110000000Q,"Wages and salaries for civilian workers in the elementary and secondary schools industry, 3-month percent change, current dollars"
CIS1026120000000I,"Wages and salaries for civilian workers in the junior colleges, colleges, and universities industry, current dollar index"
CIS1026120000000Q,"Wages and salaries for civilian workers in the junior colleges, colleges, and universities industry, 3-month percent change, current dollars"
CIS1026200000000I,"Wages and salaries for civilian workers in the health care and social assistance industry, current dollar index"
CIS1026200000000Q,"Wages and salaries for civilian workers in the health care and social assistance industry, 3-month percent change, current dollars"
CIS1026220000000I,"Wages and salaries for civilian workers in the hospitals industry, current dollar index"
CIS1026220000000Q,"Wages and salaries for civilian workers in the hospitals industry, 3-month percent change, current dollars"
CIS1026230000000I,"Wages and salaries for All Civilian workers in Nursing and residential care facilities, Index"
CIS1026230000000Q,"Wages and salaries for All Civilian workers in Nursing and residential care facilities, 3-month percent change"
CIS1029200000000I,"Wages and salaries for civilian workers in the public administration industry, current dollar index"
CIS1029200000000Q,"Wages and salaries for civilian workers in the public administration industry, 3-month percent change, current dollars"
CIS102G000000000I,"Wages and salaries for civilian workers in the goods-producing industries, current dollar index"
CIS102G000000000Q,"Wages and salaries for civilian workers in the goods-producing industries, 3-month percent change, current dollars"
CIS102S000000000I,"Wages and salaries for civilian workers in the service-providing industries, current dollar index"
CIS102S000000000Q,"Wages and salaries for civilian workers in the service-providing industries, 3-month percent change, current dollars"
CIS1030000000000I,"Total benefits for all civilian workers, current dollar index"
CIS1030000000000Q,"Total benefits for all civilian workers, 3-month percent change, current dollars"
CIS2010000000000I,"Total compensation for all private industry workers, current dollar index"
CIS2010000000000Q,"Total compensation for all private industry workers, 3-month percent change, current dollars"
CIS2010000100000I,"Total compensation for private industry workers in management, professional, and related occupations, current dollar index"
CIS2010000100000Q,"Total compensation for private industry workers in management, professional, and related occupations, 3-month percent change, current dollars"
CIS2010000110000I,"Total compensation for private industry workers in management, business, and financial occupations, current dollar index"
CIS2010000110000Q,"Total compensation for private industry workers in management, business, and financial occupations, 3-month percent change, current dollars"
CIS2010000120000I,"Total compensation for private industry workers in professional and related occupations, current dollar index"
CIS2010000120000Q,"Total compensation for private industry workers in professional and related occupations, 3-month percent change, current dollars"
CIS2010000200000I,"Total compensation for private industry workers in sales and office occupations, current dollar index"
CIS2010000200000Q,"Total compensation for private industry workers in sales and office occupations, 3-month percent change, current dollars"
CIS2010000210000I,"Total compensation for private industry workers in sales and related occupations, current dollar index"
CIS2010000210000Q,"Total compensation for private industry workers in sales and related occupations, 3-month percent change, current dollars"
CIS2010000220000I,"Total compensation for private industry workers in office and administrative support occupations, current dollar index"
CIS2010000220000Q,"Total compensation for private industry workers in office and administrative support occupations, 3-month percent change, current dollars"
CIS201000022D000I,"(Discontinued SOC 2010) Total compensation for private industry workers in office and administrative support occupations, current dollar index"
CIS201000022D000Q,"(Discontinued SOC 2010) Total compensation for private industry workers in office and administrative support occupations, 3-month percent change, current dollars"
CIS2010000300000I,"Total compensation for private industry workers in service occupations, current dollar index"
CIS2010000300000Q,"Total compensation for private industry workers in service occupations, 3-month percent change, current dollars"
CIS2010000400000I,"Total compensation for private industry workers in natural resources, construction, and maintenance occupations, current dollar index"
CIS2010000400000Q,"Total compensation for private industry workers in natural resources, construction, and maintenance occupations, 3-month percent change, current dollars"
CIS2010000405000I,"Total compensation for private industry workers in construction, extraction, farming, fishing, and forestry occupations, current dollar index"
CIS2010000405000Q,"Total compensation for private industry workers in construction, extraction, farming, fishing, and forestry occupations, 3-month percent change, current dollars"
CIS2010000430000I,"Total compensation for private industry workers in installation, maintenance, and repair occupations, current dollar index"
