series_id,description
CUSR0000SA0,"All items in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SA0E,"Energy in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SA0L1,"All items less food in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SA0L12,"All items less food and shelter in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SA0L12E,"All items less food, shelter, and energy in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SA0L12E4,"All items less food, shelter, energy, and used cars and trucks in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SA0L1E,"All items less food and energy in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SA0L2,"All items less shelter in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SA0L5,"All items  less medical care in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SA0LE,"All items less energy in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SA311,"Apparel less footwear in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAA,"Apparel in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAA1,"Men's and boys' apparel in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAA2,"Women's and girls' apparel in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAC,"Commodities in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SACE,"Energy commodities in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SACL1,"Commodities less food in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SACL11,"Commodities less food and beverages in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SACL1E,"Commodities less food and energy commodities in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SACL1E4,"Commodities less food, energy, and used cars and trucks in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAD,"Durables in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAE,"Education and communication in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAE1,"Education in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAE2,"Communication in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAE21,"Information and information processing in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAEC,"Education and communication commodities in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAES,"Education and communication services in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAF,"Food and beverages in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAF1,"Food in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAF11,"Food at home in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAF111,"Cereals and bakery products in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAF112,"Meats, poultry, fish, and eggs in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAF1121,"Meats, poultry, and fish in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAF11211,"Meats in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAF113,"Fruits and vegetables in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAF1131,"Fresh fruits and vegetables in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAF114,"Nonalcoholic beverages and beverage materials in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAF115,"Other food at home in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAF116,"Alcoholic beverages in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAG,"Other goods and services in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAG1,"Personal care in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAGC,"Other goods in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAH,"Housing in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAH1,"Shelter in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAH2,"Fuels and utilities in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAH21,"Household energy in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAH3,"Household furnishings and operations in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAH31,"Household furnishings and supplies in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAM,"Medical care in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAM1,"Medical care commodities in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAM2,"Medical care services in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAN,"Nondurables in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SAN1D,"Domestically produced farm food in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SANL1,"Nondurables less food in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SANL11,"Nondurables less food and beverages in U.S. city average, all urban consumers, seasonally adjusted"
