series_id,description
EIUCDCANMANU,"Monthly export price index by destination for NAICS, Manufacturing, Canada, not seasonally adjusted"
EIUCDCANNONM,"Monthly export price index by destination for NAICS, Nonmanufacturing, Canada, not seasonally adjusted"
EIUCDCANTOT,"Monthly export price index by destination for NAICS, All industries, Canada, not seasonally adjusted"
EIUCDCHNMANU,"Monthly export price index by destination for NAICS, Manufacturing, China, not seasonally adjusted"
EIUCDCHNNONM,"Monthly export price index by destination for NAICS, Nonmanufacturing, China, not seasonally adjusted"
EIUCDCHNTOT,"Monthly export price index by destination for NAICS, All industries, China, not seasonally adjusted"
EIUCDEECMANU,"Monthly export price index by destination for NAICS, Manufacturing, European Union, not seasonally adjusted"
EIUCDEECNONM,"Monthly export price index by destination for NAICS, Nonmanufacturing, European Union, not seasonally adjusted"
EIUCDEECTOT,"Monthly export price index by destination for NAICS, All industries, European Union, not seasonally adjusted"
EIUCDGERTOT,"Monthly export price index by destination for NAICS, All industries, Germany, not seasonally adjusted"
EIUCDINDUSMANU,"Monthly export price index by destination for NAICS, Manufacturing, Industrialized Countries, not seasonally adjusted"
EIUCDINDUSNONM,"Monthly export price index by destination for NAICS, Nonmanufacturing, Industrialized Countries, not seasonally adjusted"
EIUCDINDUSTOT,"Monthly export price index by destination for NAICS, All industries, Industrialized Countries, not seasonally adjusted"
EIUCDJPNMANU,"Monthly export price index by destination for NAICS, Manufacturing, Japan, not seasonally adjusted"
EIUCDJPNNONM,"Monthly export price index by destination for NAICS, Nonmanufacturing, Japan, not seasonally adjusted"
EIUCDJPNTOT,"Monthly export price index by destination for NAICS, All industries, Japan, not seasonally adjusted"
EIUCDLATMANU,"Monthly export price index by destination for NAICS, Manufacturing, Latin America, not seasonally adjusted"
EIUCDLATNONM,"Monthly export price index by destination for NAICS, Nonmanufacturing, Latin America, not seasonally adjusted"
EIUCDLATTOT,"Monthly export price index by destination for NAICS, All industries, Latin America, not seasonally adjusted"
EIUCDMEXMANU,"Monthly export price index by destination for NAICS, Manufacturing, Mexico, not seasonally adjusted"
EIUCDMEXNONM,"Monthly export price index by destination for NAICS, Nonmanufacturing, Mexico, not seasonally adjusted"
EIUCDMEXTOT,"Monthly export price index by destination for NAICS, All industries, Mexico, not seasonally adjusted"
EIUCDPRIMMANU,"Monthly export price index by destination for NAICS, Manufacturing, Pacific Rim, not seasonally adjusted"
EIUCDPRIMNONM,"Monthly export price index by destination for NAICS, Nonmanufacturing, Pacific Rim, not seasonally adjusted"
EIUCDPRIMTOT,"Monthly export price index by destination for NAICS, All industries, Pacific Rim, not seasonally adjusted"
EIUCOASEANTOT,"Monthly import price index by origin for NAICS, All industries, Association of Southeast Asian Nations, not seasonally adjusted"
EIUCOASEANZ31,"Monthly import price index by origin for NAICS 31, Manufacturing, part 1, Association of Southeast Asian Nations, not seasonally adjusted"
EIUCOASEANZ311,"Monthly import price index by origin for NAICS 311, Food manufacturing, Association of Southeast Asian Nations, not seasonally adjusted"
EIUCOASEANZ3117,"Monthly import price index by origin for NAICS 3117, Seafood product preparation and packaging, Association of Southeast Asian Nations, not seasonally adjusted"
EIUCOASEANZ315,"Monthly import price index by origin for NAICS 315, Apparel manufacturing, Association of Southeast Asian Nations, not seasonally adjusted"
EIUCOASEANZ33,"Monthly import price index by origin for NAICS 33, Manufacturing, part 3, Association of Southeast Asian Nations, not seasonally adjusted"
EIUCOASEANZ334,"Monthly import price index by origin for NAICS 334, Computer and electronic product manufacturing, Association of Southeast Asian Nations, not seasonally adjusted"
EIUCOASEANZ3344,"Monthly import price index by origin for NAICS 334, Semiconductor and other electronic component manufacturing, Association of Southeast Asian Nations, not seasonally adjusted"
EIUCOASEANZ337,"Monthly import price index by origin for NAICS 337, Furniture and related product manufacturing, Association of Southeast Asian Nations, not seasonally adjusted"
EIUCOASEANZ339,"Monthly import price index by origin for NAICS 339, Miscellaneous manufacturing, Association of Southeast Asian Nations, not seasonally adjusted"
EIUCOASNRETOT,"Monthly import price index by origin for NAICS, All industries, Asia Near East, not seasonally adjusted"
EIUCOCANMANU,"Monthly import price index by origin for NAICS, Manufacturing, Canada, not seasonally adjusted"
EIUCOCANNONM,"Monthly import price index by origin for NAICS, Nonmanufacturing, Canada, not seasonally adjusted"
EIUCOCANTOT,"Monthly import price index by origin for NAICS, All Industries, Canada, not seasonally adjusted"
EIUCOCANZ11,"Monthly import price index by origin for NAICS 11, Agriculture, forestry, fishing and hunting, Canada, not seasonally adjusted"
EIUCOCANZ21,"Monthly import price index by origin for NAICS 21, Mining, quarrying, and oil and gas extraction, Canada, not seasonally adjusted"
EIUCOCANZ31,"Monthly import price index by origin for NAICS 31, Manufacturing, part 1, Canada, not seasonally adjusted"
EIUCOCANZ311,"Monthly import price index by origin for NAICS 311, Food manufacturing, Canada, not seasonally adjusted"
EIUCOCANZ32,"Monthly import price index by origin for NAICS 32, Manufacturing, part 2, Canada, not seasonally adjusted"
EIUCOCANZ322,"Monthly import price index by origin for NAICS 322, Paper manufacturing, Canada, not seasonally adjusted"
EIUCOCANZ324,"Monthly import price index by origin for NAICS 324, Petroleum and coal products manufacturing, Canada, not seasonally adjusted"
EIUCOCANZ325,"Monthly import price index by origin for NAICS 325, Chemical manufacturing, Canada, not seasonally adjusted"
EIUCOCANZ33,"Monthly import price index by origin for NAICS 33, Manufacturing, part 3, Canada, not seasonally adjusted"
EIUCOCANZ331,"Monthly import price index by origin for NAICS 331, Primary metal manufacturing, Canada, not seasonally adjusted"
EIUCOCANZ3314,"Monthly import price index by origin for NAICS 3314, Nonferrous metal (except aluminum) production and processing, Canada, not seasonally adjusted"
EIUCOCANZ333,"Monthly import price index by origin for NAICS 333, Machinery manufacturing, Canada, not seasonally adjusted"
EIUCOCHNTOT,"Monthly import price index by origin for NAICS, All industries, China, not seasonally adjusted"
EIUCOCHNZ31,"Monthly import price index by origin for NAICS 31, Manufacturing, part 1, China, not seasonally adjusted"
EIUCOCHNZ315,"Monthly import price index by origin for NAICS 315, Apparel manufacturing, China, not seasonally adjusted"
EIUCOCHNZ3152,"Monthly import price index by origin for NAICS 3152, Cut and sew apparel manufacturing, China, not seasonally adjusted"
EIUCOCHNZ316,"Monthly import price index by origin for NAICS 316, Leather and allied product manufacturing, China, not seasonally adjusted"
EIUCOCHNZ3162,"Monthly import price index by origin for NAICS 3162, Footwear manufacturing, China, not seasonally adjusted"
EIUCOCHNZ32,"Monthly import price index by origin for NAICS 32, Manufacturing, part 2, China, not seasonally adjusted"
EIUCOCHNZ325,"Monthly import price index by origin for NAICS 325, Chemical manufacturing, China, not seasonally adjusted"
EIUCOCHNZ326,"Monthly import price index by origin for NAICS 326, Plastics and rubber products manufacturing, China, not seasonally adjusted"
EIUCOCHNZ3261,"Monthly import price index by origin for NAICS 3261, Plastics product manufacturing, China, not seasonally adjusted"
EIUCOCHNZ33,"Monthly import price index by origin for NAICS 33, Manufacturing, part 3, China, not seasonally adjusted"
EIUCOCHNZ332,"Monthly import price index by origin for NAICS 332, Fabricated metal product manufacturing, China, not seasonally adjusted"
EIUCOCHNZ3322,"Monthly import price index by origin for NAICS 3322, Cutlery and handtool manufacturing, China, not seasonally adjusted"
EIUCOCHNZ333,"Monthly import price index by origin for NAICS 333, Machinery manufacturing, China, not seasonally adjusted"
EIUCOCHNZ334,"Monthly import price index by origin for NAICS 334, Computer and electronic product manufacturing, China, not seasonally adjusted"
EIUCOCHNZ3341,"Monthly import price index by origin for NAICS 3341, Computer and peripheral equipment manufacturing, China, not seasonally adjusted"
EIUCOCHNZ3342,"Monthly import price index by origin for NAICS 3342, Communications equipment manufacturing, China, not seasonally adjusted"
EIUCOCHNZ3343,"Monthly import price index by origin for NAICS 3343, Audio and video equipment manufacturing, China, not seasonally adjusted"
EIUCOCHNZ3345,"Monthly import price index by origin for NAICS 3345, Navigational, measuring, electromedical, and control instruments manufacturing, China, not seasonally adjusted"
EIUCOCHNZ335,"Monthly import price index by origin for NAICS 335, Electrical equipment, appliance, and component manufacturing, China, not seasonally adjusted"
EIUCOCHNZ3351,"Monthly import price index by origin for NAICS 3351, Electric lighting equipment manufacturing, China, not seasonally adjusted"
EIUCOCHNZ3352,"Monthly import price index by origin for NAICS 3352, Household appliance manufacturing, China, not seasonally adjusted"
EIUCOCHNZ337,"Monthly import price index by origin for NAICS 337, Furniture and related product manufacturing, China, not seasonally adjusted"
EIUCOCHNZ3371,"Monthly import price index by origin for NAICS 3371, Household and institutional furniture and kitchen cabinet manufacturing, China, not seasonally adjusted"
EIUCOCHNZ339,"Monthly import price index by origin for NAICS 339, Miscellaneous manufacturing, China, not seasonally adjusted"
EIUCOCHNZ3399,"Monthly import price index by origin for NAICS 3399, Other miscellaneous manufacturing, China, not seasonally adjusted"
EIUCOEECMANU,"Monthly import price index by origin for NAICS, Manufacturing, European Union, not seasonally adjusted"
EIUCOEECTOT,"Monthly import price index by origin for NAICS, All industries, European Union, not seasonally adjusted"
EIUCOEECZ31,"Monthly import price index by origin for NAICS 31, Manufacturing, part 1, European Union, not seasonally adjusted"
EIUCOEECZ311,"Monthly import price index by origin for NAICS 311, Food manufacturing, European Union, not seasonally adjusted"
EIUCOEECZ312,"Monthly import price index by origin for NAICS 312, Beverage and tobacco product manufacturing, European Union, not seasonally adjusted"
EIUCOEECZ32,"Monthly import price index by origin for NAICS 32, Manufacturing, part 2, European Union, not seasonally adjusted"
EIUCOEECZ324,"Monthly import price index by origin for NAICS 324, Petroleum and coal products manufacturing, European Union, not seasonally adjusted"
EIUCOEECZ325,"Monthly import price index by origin for NAICS 325, Chemical manufacturing, European Union, not seasonally adjusted"
EIUCOEECZ3254,"Monthly import price index by origin for NAICS 3254, Pharmaceutical and medicine manufacturing, European Union, not seasonally adjusted"
EIUCOEECZ33,"Monthly import price index by origin for NAICS 33, Manufacturing, part 3, European Union, not seasonally adjusted"
EIUCOEECZ331,"Monthly import price index by origin for NAICS 331, Primary metal manufacturing, European Union, not seasonally adjusted"
EIUCOEECZ3314,"Monthly import price index by origin for NAICS 3314, Nonferrous metal (except aluminum) production and processing, European Union, not seasonally adjusted"
EIUCOEECZ332,"Monthly import price index by origin for NAICS 332, Fabricated metal product manufacturing, European Union, not seasonally adjusted"
EIUCOEECZ3329,"Monthly import price index by origin for NAICS 3329, Other fabricated metal product manufacturing, European Union, not seasonally adjusted"
EIUCOEECZ333,"Monthly import price index by origin for NAICS 333, Machinery manufacturing, European Union, not seasonally adjusted"
EIUCOEECZ3331,"Monthly import price index by origin for NAICS 3331, Agriculture, construction, and mining machinery manufacturing, European Union, not seasonally adjusted"
EIUCOEECZ3332,"Monthly import price index by origin for NAICS 3332, Industrial machinery manufacturing, European Union, not seasonally adjusted"
EIUCOEECZ3339,"Monthly import price index by origin for NAICS 3339, Other general purpose machinery manufacturing, European Union, not seasonally adjusted"
EIUCOEECZ334,"Monthly import price index by origin for NAICS 334, Computer and electronic product manufacturing, European Union, not seasonally adjusted"
EIUCOEECZ335,"Monthly import price index by origin for NAICS 335, Electrical equipment, appliance, and component manufacturing, European Union, not seasonally adjusted"
EIUCOEECZ336,"Monthly import price index by origin for NAICS 336, Transportation equipment manufacturing, European Union, not seasonally adjusted"
EIUCOEECZ3361,"Monthly import price index by origin for NAICS 3361, Motor vehicle manufacturing, European Union, not seasonally adjusted"
EIUCOEECZ3363,"Monthly import price index by origin for NAICS 3363, Motor vehicle parts manufacturing, European Union, not seasonally adjusted"
