series_id,description
JTS000000000000000HIL,"Hires, Level - In Thousands, Total nonfarm, Total US, All size classes, Seasonally Adjusted"
JTS000000000000000HIR,"Hires, Rate, Total nonfarm, Total US, All size classes, Seasonally Adjusted"
JTS000000000000000JOL,"Job openings, Level - In Thousands, Total nonfarm, Total US, All size classes, Seasonally Adjusted"
JTS000000000000000JOR,"Job openings, Rate, Total nonfarm, Total US, All size classes, Seasonally Adjusted"
JTS000000000000000LDL,"Layoffs and discharges, Level - In Thousands, Total nonfarm, Total US, All size classes, Seasonally Adjusted"
JTS000000000000000LDR,"Layoffs and discharges, Rate, Total nonfarm, Total US, All size classes, Seasonally Adjusted"
JTS000000000000000OSL,"Other separations, Level - In Thousands, Total nonfarm, Total US, All size classes, Seasonally Adjusted"
JTS000000000000000OSR,"Other separations, Rate, Total nonfarm, Total US, All size classes, Seasonally Adjusted"
JTS000000000000000QUL,"Quits, Level - In Thousands, Total nonfarm, Total US, All size classes, Seasonally Adjusted"
JTS000000000000000QUR,"Quits, Rate, Total nonfarm, Total US, All size classes, Seasonally Adjusted"
JTS000000000000000TSL,"Total separations, Level - In Thousands, Total nonfarm, Total US, All size classes, Seasonally Adjusted"
JTS000000000000000TSR,"Total separations, Rate, Total nonfarm, Total US, All size classes, Seasonally Adjusted"
JTS000000000000000UOR,"Unemployed persons per job opening ratio, Rate, Total nonfarm, Total US, All size classes, Seasonally Adjusted"
JTS000000010000000HIL,"Hires, Level - In Thousands, Total nonfarm, Alabama, All size classes, Seasonally Adjusted"
JTS000000010000000HIR,"Hires, Rate, Total nonfarm, Alabama, All size classes, Seasonally Adjusted"
JTS000000010000000JOL,"Job openings, Level - In Thousands, Total nonfarm, Alabama, All size classes, Seasonally Adjusted"
JTS000000010000000JOR,"Job openings, Rate, Total nonfarm, Alabama, All size classes, Seasonally Adjusted"
JTS000000010000000LDL,"Layoffs and discharges, Level - In Thousands, Total nonfarm, Alabama, All size classes, Seasonally Adjusted"
JTS000000010000000LDR,"Layoffs and discharges, Rate, Total nonfarm, Alabama, All size classes, Seasonally Adjusted"
JTS000000010000000QUL,"Quits, Level - In Thousands, Total nonfarm, Alabama, All size classes, Seasonally Adjusted"
JTS000000010000000QUR,"Quits, Rate, Total nonfarm, Alabama, All size classes, Seasonally Adjusted"
JTS000000010000000TSL,"Total separations, Level - In Thousands, Total nonfarm, Alabama, All size classes, Seasonally Adjusted"
JTS000000010000000TSR,"Total separations, Rate, Total nonfarm, Alabama, All size classes, Seasonally Adjusted"
JTS000000010000000UOR,"Unemployed persons per job opening ratio, Rate, Total nonfarm, Alabama, All size classes, Seasonally Adjusted"
JTS000000020000000HIL,"Hires, Level - In Thousands, Total nonfarm, Alaska, All size classes, Seasonally Adjusted"
JTS000000020000000HIR,"Hires, Rate, Total nonfarm, Alaska, All size classes, Seasonally Adjusted"
JTS000000020000000JOL,"Job openings, Level - In Thousands, Total nonfarm, Alaska, All size classes, Seasonally Adjusted"
JTS000000020000000JOR,"Job openings, Rate, Total nonfarm, Alaska, All size classes, Seasonally Adjusted"
JTS000000020000000LDL,"Layoffs and discharges, Level - In Thousands, Total nonfarm, Alaska, All size classes, Seasonally Adjusted"
JTS000000020000000LDR,"Layoffs and discharges, Rate, Total nonfarm, Alaska, All size classes, Seasonally Adjusted"
JTS000000020000000QUL,"Quits, Level - In Thousands, Total nonfarm, Alaska, All size classes, Seasonally Adjusted"
JTS000000020000000QUR,"Quits, Rate, Total nonfarm, Alaska, All size classes, Seasonally Adjusted"
JTS000000020000000TSL,"Total separations, Level - In Thousands, Total nonfarm, Alaska, All size classes, Seasonally Adjusted"
JTS000000020000000TSR,"Total separations, Rate, Total nonfarm, Alaska, All size classes, Seasonally Adjusted"
JTS000000020000000UOR,"Unemployed persons per job opening ratio, Rate, Total nonfarm, Alaska, All size classes, Seasonally Adjusted"
JTS000000040000000HIL,"Hires, Level - In Thousands, Total nonfarm, Arizona, All size classes, Seasonally Adjusted"
JTS000000040000000HIR,"Hires, Rate, Total nonfarm, Arizona, All size classes, Seasonally Adjusted"
JTS000000040000000JOL,"Job openings, Level - In Thousands, Total nonfarm, Arizona, All size classes, Seasonally Adjusted"
JTS000000040000000JOR,"Job openings, Rate, Total nonfarm, Arizona, All size classes, Seasonally Adjusted"
JTS000000040000000LDL,"Layoffs and discharges, Level - In Thousands, Total nonfarm, Arizona, All size classes, Seasonally Adjusted"
JTS000000040000000LDR,"Layoffs and discharges, Rate, Total nonfarm, Arizona, All size classes, Seasonally Adjusted"
JTS000000040000000QUL,"Quits, Level - In Thousands, Total nonfarm, Arizona, All size classes, Seasonally Adjusted"
JTS000000040000000QUR,"Quits, Rate, Total nonfarm, Arizona, All size classes, Seasonally Adjusted"
JTS000000040000000TSL,"Total separations, Level - In Thousands, Total nonfarm, Arizona, All size classes, Seasonally Adjusted"
JTS000000040000000TSR,"Total separations, Rate, Total nonfarm, Arizona, All size classes, Seasonally Adjusted"
JTS000000040000000UOR,"Unemployed persons per job opening ratio, Rate, Total nonfarm, Arizona, All size classes, Seasonally Adjusted"
JTS000000050000000HIL,"Hires, Level - In Thousands, Total nonfarm, Arkansas, All size classes, Seasonally Adjusted"
JTS000000050000000HIR,"Hires, Rate, Total nonfarm, Arkansas, All size classes, Seasonally Adjusted"
JTS000000050000000JOL,"Job openings, Level - In Thousands, Total nonfarm, Arkansas, All size classes, Seasonally Adjusted"
JTS000000050000000JOR,"Job openings, Rate, Total nonfarm, Arkansas, All size classes, Seasonally Adjusted"
JTS000000050000000LDL,"Layoffs and discharges, Level - In Thousands, Total nonfarm, Arkansas, All size classes, Seasonally Adjusted"
JTS000000050000000LDR,"Layoffs and discharges, Rate, Total nonfarm, Arkansas, All size classes, Seasonally Adjusted"
JTS000000050000000QUL,"Quits, Level - In Thousands, Total nonfarm, Arkansas, All size classes, Seasonally Adjusted"
JTS000000050000000QUR,"Quits, Rate, Total nonfarm, Arkansas, All size classes, Seasonally Adjusted"
JTS000000050000000TSL,"Total separations, Level - In Thousands, Total nonfarm, Arkansas, All size classes, Seasonally Adjusted"
JTS000000050000000TSR,"Total separations, Rate, Total nonfarm, Arkansas, All size classes, Seasonally Adjusted"
JTS000000050000000UOR,"Unemployed persons per job opening ratio, Rate, Total nonfarm, Arkansas, All size classes, Seasonally Adjusted"
