series_id,description
LASBS060000000000003,"Unemployment Rate: Balance of California, state less Los Angeles-Long Beach-Glendale MD (S)"
LASBS060000000000004,"Unemployment: Balance of California, state less Los Angeles-Long Beach-Glendale MD (S)"
LASBS060000000000005,"Employment: Balance of California, state less Los Angeles-Long Beach-Glendale MD (S)"
LASBS060000000000006,"Labor Force: Balance of California, state less Los Angeles-Long Beach-Glendale MD (S)"
LASBS120000000000003,"Unemployment Rate: Balance of Florida, state less Miami-Miami Beach-Kendall MD (S)"
LASBS120000000000004,"Unemployment: Balance of Florida, state less Miami-Miami Beach-Kendall MD (S)"
LASBS120000000000005,"Employment: Balance of Florida, state less Miami-Miami Beach-Kendall MD (S)"
LASBS120000000000006,"Labor Force: Balance of Florida, state less Miami-Miami Beach-Kendall MD (S)"
LASBS170000000000003,"Unemployment Rate: Balance of Illinois, state less Chicago-Naperville-Schaumburg MD (S)"
LASBS170000000000004,"Unemployment: Balance of Illinois, state less Chicago-Naperville-Schaumburg MD (S)"
LASBS170000000000005,"Employment: Balance of Illinois, state less Chicago-Naperville-Schaumburg MD (S)"
LASBS170000000000006,"Labor Force: Balance of Illinois, state less Chicago-Naperville-Schaumburg MD (S)"
LASBS260000000000003,"Unemployment Rate: Balance of Michigan, state less Detroit-Warren-Dearborn MSA (S)"
LASBS260000000000004,"Unemployment: Balance of Michigan, state less Detroit-Warren-Dearborn MSA (S)"
LASBS260000000000005,"Employment: Balance of Michigan, state less Detroit-Warren-Dearborn MSA (S)"
LASBS260000000000006,"Labor Force: Balance of Michigan, state less Detroit-Warren-Dearborn MSA (S)"
LASBS360000000000003,"Unemployment Rate: Balance of New York, state less New York city (S)"
LASBS360000000000004,"Unemployment: Balance of New York, state less New York city (S)"
LASBS360000000000005,"Employment: Balance of New York, state less New York city (S)"
LASBS360000000000006,"Labor Force: Balance of New York, state less New York city (S)"
LASBS390000000000003,"Unemployment Rate: Balance of Ohio, state less Cleveland MSA (S)"
LASBS390000000000004,"Unemployment: Balance of Ohio, state less Cleveland MSA (S)"
LASBS390000000000005,"Employment: Balance of Ohio, state less Cleveland MSA (S)"
LASBS390000000000006,"Labor Force: Balance of Ohio, state less Cleveland MSA (S)"
LASBS530000000000003,"Unemployment Rate: Balance of Washington, state less Seattle-Tacoma-Bellevue MSA (S)"
LASBS530000000000004,"Unemployment: Balance of Washington, state less Seattle-Tacoma-Bellevue MSA (S)"
LASBS530000000000005,"Employment: Balance of Washington, state less Seattle-Tacoma-Bellevue MSA (S)"
LASBS530000000000006,"Labor Force: Balance of Washington, state less Seattle-Tacoma-Bellevue MSA (S)"
LASCT365100000000003,"Unemployment Rate: New York city, NY (S)"
LASCT365100000000004,"Unemployment: New York city, NY (S)"
LASCT365100000000005,"Employment: New York city, NY (S)"
LASCT365100000000006,"Labor Force: New York city, NY (S)"
LASCT365100000000007,"Employment-Population Ratio: New York city, NY (S)"
LASCT365100000000008,"Labor Force Participation Rate: New York city, NY (S)"
LASDV063108400000003,"Unemployment Rate: Los Angeles-Long Beach-Glendale, CA Metropolitan Division (S)"
LASDV063108400000004,"Unemployment: Los Angeles-Long Beach-Glendale, CA Metropolitan Division (S)"
LASDV063108400000005,"Employment: Los Angeles-Long Beach-Glendale, CA Metropolitan Division (S)"
LASDV063108400000006,"Labor Force: Los Angeles-Long Beach-Glendale, CA Metropolitan Division (S)"
LASDV063108400000007,"Employment-Population Ratio: Los Angeles-Long Beach-Glendale, CA Metropolitan Division (S)"
LASDV063108400000008,"Labor Force Participation Rate: Los Angeles-Long Beach-Glendale, CA Metropolitan Division (S)"
LASDV123312400000003,"Unemployment Rate: Miami-Miami Beach-Kendall, FL Metropolitan Division (S)"
LASDV123312400000004,"Unemployment: Miami-Miami Beach-Kendall, FL Metropolitan Division (S)"
LASDV123312400000005,"Employment: Miami-Miami Beach-Kendall, FL Metropolitan Division (S)"
LASDV123312400000006,"Labor Force: Miami-Miami Beach-Kendall, FL Metropolitan Division (S)"
LASDV171698400000003,"Unemployment Rate: Chicago-Naperville-Schaumburg, IL Metropolitan Division (S)"
LASDV171698400000004,"Unemployment: Chicago-Naperville-Schaumburg, IL Metropolitan Division (S)"
LASDV171698400000005,"Employment: Chicago-Naperville-Schaumburg, IL Metropolitan Division (S)"
LASDV171698400000006,"Labor Force: Chicago-Naperville-Schaumburg, IL Metropolitan Division (S)"
LASMT261982000000003,"Unemployment Rate: Detroit-Warren-Dearborn, MI Metropolitan Statistical Area (S)"
LASMT261982000000004,"Unemployment: Detroit-Warren-Dearborn, MI Metropolitan Statistical Area (S)"
LASMT261982000000005,"Employment: Detroit-Warren-Dearborn, MI Metropolitan Statistical Area (S)"
LASMT261982000000006,"Labor Force: Detroit-Warren-Dearborn, MI Metropolitan Statistical Area (S)"
LASMT391741000000003,"Unemployment Rate: Cleveland, OH Metropolitan Statistical Area (S)"
LASMT391741000000004,"Unemployment: Cleveland, OH Metropolitan Statistical Area (S)"
LASMT391741000000005,"Employment: Cleveland, OH Metropolitan Statistical Area (S)"
LASMT391741000000006,"Labor Force: Cleveland, OH Metropolitan Statistical Area (S)"
LASMT534266000000003,"Unemployment Rate: Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area (S)"
LASMT534266000000004,"Unemployment: Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area (S)"
LASMT534266000000005,"Employment: Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area (S)"
LASMT534266000000006,"Labor Force: Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area (S)"
LASRD810000000000003,Unemployment Rate: New England division (S)
LASRD810000000000004,Unemployment: New England division (S)
LASRD810000000000005,Employment: New England division (S)
LASRD810000000000006,Labor Force: New England division (S)
LASRD820000000000003,Unemployment Rate: Middle Atlantic division (S)
LASRD820000000000004,Unemployment: Middle Atlantic division (S)
LASRD820000000000005,Employment: Middle Atlantic division (S)
LASRD820000000000006,Labor Force: Middle Atlantic division (S)
LASRD830000000000003,Unemployment Rate: East North Central division (S)
LASRD830000000000004,Unemployment: East North Central division (S)
LASRD830000000000005,Employment: East North Central division (S)
LASRD830000000000006,Labor Force: East North Central division (S)
LASRD840000000000003,Unemployment Rate: West North Central division (S)
LASRD840000000000004,Unemployment: West North Central division (S)
LASRD840000000000005,Employment: West North Central division (S)
LASRD840000000000006,Labor Force: West North Central division (S)
LASRD850000000000003,Unemployment Rate: South Atlantic division (S)
LASRD850000000000004,Unemployment: South Atlantic division (S)
LASRD850000000000005,Employment: South Atlantic division (S)
LASRD850000000000006,Labor Force: South Atlantic division (S)
LASRD860000000000003,Unemployment Rate: East South Central division (S)
LASRD860000000000004,Unemployment: East South Central division (S)
LASRD860000000000005,Employment: East South Central division (S)
LASRD860000000000006,Labor Force: East South Central division (S)
LASRD870000000000003,Unemployment Rate: West South Central division (S)
LASRD870000000000004,Unemployment: West South Central division (S)
LASRD870000000000005,Employment: West South Central division (S)
LASRD870000000000006,Labor Force: West South Central division (S)
LASRD880000000000003,Unemployment Rate: Mountain division (S)
LASRD880000000000004,Unemployment: Mountain division (S)
LASRD880000000000005,Employment: Mountain division (S)
LASRD880000000000006,Labor Force: Mountain division (S)
LASRD890000000000003,Unemployment Rate: Pacific division (S)
LASRD890000000000004,Unemployment: Pacific division (S)
LASRD890000000000005,Employment: Pacific division (S)
LASRD890000000000006,Labor Force: Pacific division (S)
LASRD910000000000003,Unemployment Rate: Northeast region (S)
LASRD910000000000004,Unemployment: Northeast region (S)
LASRD910000000000005,Employment: Northeast region (S)
LASRD910000000000006,Labor Force: Northeast region (S)
LASRD920000000000003,Unemployment Rate: Midwest region (S)
LASRD920000000000004,Unemployment: Midwest region (S)
LASRD920000000000005,Employment: Midwest region (S)
LASRD920000000000006,Labor Force: Midwest region (S)
LASRD930000000000003,Unemployment Rate: South region (S)
LASRD930000000000004,Unemployment: South region (S)
LASRD930000000000005,Employment: South region (S)
LASRD930000000000006,Labor Force: South region (S)
LASRD940000000000003,Unemployment Rate: West region (S)
LASRD940000000000004,Unemployment: West region (S)
LASRD940000000000005,Employment: West region (S)
LASRD940000000000006,Labor Force: West region (S)
LASST010000000000003,Unemployment Rate: Alabama (S)
LASST010000000000004,Unemployment: Alabama (S)
LASST010000000000005,Employment: Alabama (S)
LASST010000000000006,Labor Force: Alabama (S)
LASST010000000000007,Employment-Population Ratio: Alabama (S)
LASST010000000000008,Labor Force Participation Rate: Alabama (S)
LASST020000000000003,Unemployment Rate: Alaska (S)
LASST020000000000004,Unemployment: Alaska (S)
LASST020000000000005,Employment: Alaska (S)
LASST020000000000006,Labor Force: Alaska (S)
LASST020000000000007,Employment-Population Ratio: Alaska (S)
LASST020000000000008,Labor Force Participation Rate: Alaska (S)
LASST040000000000003,Unemployment Rate: Arizona (S)
LASST040000000000004,Unemployment: Arizona (S)
LASST040000000000005,Employment: Arizona (S)
LASST040000000000006,Labor Force: Arizona (S)
LASST040000000000007,Employment-Population Ratio: Arizona (S)
LASST040000000000008,Labor Force Participation Rate: Arizona (S)
LASST050000000000003,Unemployment Rate: Arkansas (S)
LASST050000000000004,Unemployment: Arkansas (S)
LASST050000000000005,Employment: Arkansas (S)
LASST050000000000006,Labor Force: Arkansas (S)
LASST050000000000007,Employment-Population Ratio: Arkansas (S)
LASST050000000000008,Labor Force Participation Rate: Arkansas (S)
LASST060000000000003,Unemployment Rate: California (S)
LASST060000000000004,Unemployment: California (S)
LASST060000000000005,Employment: California (S)
LASST060000000000006,Labor Force: California (S)
LASST060000000000007,Employment-Population Ratio: California (S)
LASST060000000000008,Labor Force Participation Rate: California (S)
LASST080000000000003,Unemployment Rate: Colorado (S)
LASST080000000000004,Unemployment: Colorado (S)
LASST080000000000005,Employment: Colorado (S)
LASST080000000000006,Labor Force: Colorado (S)
LASST080000000000007,Employment-Population Ratio: Colorado (S)
LASST080000000000008,Labor Force Participation Rate: Colorado (S)
LASST090000000000003,Unemployment Rate: Connecticut (S)
LASST090000000000004,Unemployment: Connecticut (S)
LASST090000000000005,Employment: Connecticut (S)
LASST090000000000006,Labor Force: Connecticut (S)
LASST090000000000007,Employment-Population Ratio: Connecticut (S)
LASST090000000000008,Labor Force Participation Rate: Connecticut (S)
LASST100000000000003,Unemployment Rate: Delaware (S)
LASST100000000000004,Unemployment: Delaware (S)
LASST100000000000005,Employment: Delaware (S)
LASST100000000000006,Labor Force: Delaware (S)
LASST100000000000007,Employment-Population Ratio: Delaware (S)
LASST100000000000008,Labor Force Participation Rate: Delaware (S)
