series_id,description
PCU1133--1133--,"PPI industry group data for Logging, not seasonally adjusted"
PCU11331-11331-,"PPI industry data for Logging, not seasonally adjusted"
PCU113310113310,"PPI industry data for Logging, not seasonally adjusted"
PCU113310113310M,"PPI industry data for Logging-Miscellaneous receipts, not seasonally adjusted"
PCU113310113310MM,"PPI industry data for Logging-Miscellaneous receipts, not seasonally adjusted"
PCU113310113310P,"PPI industry data for Logging-Primary products, not seasonally adjusted"
PCU211---211---,"PPI industry sub-sector data for Oil and gas extraction, not seasonally adjusted"
PCU2111--2111--,"PPI industry group data for Oil and gas extraction, not seasonally adjusted"
PCU211120211120,"PPI industry data for Crude petroleum extraction, not seasonally adjusted"
PCU2111202111201,"PPI industry data for Crude petroleum extraction-Extraction of crude petroleum, including lease condensate, not seasonally adjusted"
PCU211120211120P,"PPI industry data for Crude petroleum extraction-Primary products, not seasonally adjusted"
PCU211120211120S,"PPI industry data for Crude petroleum extraction-Secondary products, not seasonally adjusted"
PCU211130211130,"PPI industry data for Natural gas extraction, not seasonally adjusted"
PCU2111302111301,"PPI industry data for Natural gas extraction-Natural gas (from the wellhead), not seasonally adjusted"
PCU2111302111302,"PPI industry data for Natural gas extraction-Natural gas liquids, not seasonally adjusted"
PCU21113021113021,"PPI industry data for Natural gas extraction-Isopentane and natural gasoline, not seasonally adjusted"
PCU21113021113022,"PPI industry data for Natural gas extraction-Propane, not seasonally adjusted"
PCU21113021113023,"PPI industry data for Natural gas extraction-Butane, not seasonally adjusted"
PCU21113021113024,"PPI industry data for Natural gas extraction-Plant condensate, ethane, gas mixtures, and other natural gas liquids, not seasonally adjusted"
PCU2111302111303,"PPI industry data for Natural gas extraction-Residue gas shipped from natural gas liquids plants, not seasonally adjusted"
PCU211130211130P,"PPI industry data for Natural gas extraction-Primary products, not seasonally adjusted"
PCU211130211130S,"PPI industry data for Natural gas extraction-Secondary products, not seasonally adjusted"
PCU212---212---,"PPI industry sub-sector data for Mining (except oil & gas), not seasonally adjusted"
PCU2121--2121--,"PPI industry group data for Coal mining, not seasonally adjusted"
PCU21211-21211-,"PPI industry data for Coal mining, not seasonally adjusted"
PCU212110212110,"PPI industry data for Coal mining, not seasonally adjusted"
PCU2121102121101,"PPI industry data for Coal mining-Coal, utility sold, not seasonally adjusted"
PCU21211021211011,"PPI industry data for Coal mining-Bituminous coal and lignite surface mining (utility sold), not seasonally adjusted"
PCU212110212110111,"PPI industry data for Coal mining-Raw bituminous and lignite from surface mining operations (utility sold), not seasonally adjusted"
PCU212110212110113,"PPI industry data for Coal mining-Processed bituminous coal and lignite surface operations (utility sold), not seasonally adjusted"
PCU21211021211012,"PPI industry data for Coal mining-Bituminous coal underground mining (utility sold), not seasonally adjusted"
PCU212110212110121,"PPI industry data for Coal mining-Raw bituminous coal shipped from underground mining operations (utility sold), not seasonally adjusted"
PCU212110212110123,"PPI industry data for Coal mining-Processed bituminous coal shipped from underground mines (utility sold), not seasonally adjusted"
