series_id,description
WPS00000000,"PPI Commodity data for All commodities, seasonally adjusted"
WPS01,"PPI Commodity data for Farm products, seasonally adjusted"
WPS011,"PPI Commodity data for Farm products-Fruits & melons, fresh/dry vegs. & nuts, seasonally adjusted"
WPS0111,"PPI Commodity data for Farm products-Fresh fruits and melons, seasonally adjusted"
WPS011101,"PPI Commodity data for Farm products-Citrus fruits, seasonally adjusted"
WPS011102,"PPI Commodity data for Farm products-Other fruits and berries, seasonally adjusted"
WPS0113,"PPI Commodity data for Farm products-Fresh and dry vegetables, seasonally adjusted"
WPS011301,"PPI Commodity data for Farm products-Dry vegetables, seasonally adjusted"
WPS011302,"PPI Commodity data for Farm products-Fresh vegetables, except potatoes, seasonally adjusted"
WPS011303,"PPI Commodity data for Farm products-Sweet potatoes, seasonally adjusted"
WPS011306,"PPI Commodity data for Farm products-Potatoes, seasonally adjusted"
WPS012,"PPI Commodity data for Farm products-Grains, seasonally adjusted"
WPS0121,"PPI Commodity data for Farm products-Wheat, seasonally adjusted"
WPS012101,"PPI Commodity data for Farm products-Wheat, seasonally adjusted"
WPS0122,"PPI Commodity data for Farm products-Other grains, seasonally adjusted"
WPS012201,"PPI Commodity data for Farm products-Barley, seasonally adjusted"
WPS01220101,"PPI Commodity data for Farm products-Barley, seasonally adjusted"
WPS012202,"PPI Commodity data for Farm products-Corn, seasonally adjusted"
WPS01220205,"PPI Commodity data for Farm products-Corn, seasonally adjusted"
WPS012203,"PPI Commodity data for Farm products-Oats, seasonally adjusted"
WPS01220311,"PPI Commodity data for Farm products-Oats, seasonally adjusted"
WPS012204,"PPI Commodity data for Farm products-Rye, seasonally adjusted"
WPS012205,"PPI Commodity data for Farm products-Sorghum, seasonally adjusted"
WPS0123,"PPI Commodity data for Farm products-Rough rice, seasonally adjusted"
WPS012301,"PPI Commodity data for Farm products-Rough rice, seasonally adjusted"
WPS013,"PPI Commodity data for Farm products-Livestock, seasonally adjusted"
WPS0131,"PPI Commodity data for Farm products-Slaughter cattle, seasonally adjusted"
WPS013101,"PPI Commodity data for Farm products-Slaughter steers and heifers, seasonally adjusted"
WPS013102,"PPI Commodity data for Farm products-Slaughter cows and bulls, seasonally adjusted"
WPS013103,"PPI Commodity data for Farm products-Slaughter vealers, seasonally adjusted"
WPS0132,"PPI Commodity data for Farm products-Slaughter hogs, seasonally adjusted"
WPS013201,"PPI Commodity data for Farm products-Slaughter barrows and gilts, seasonally adjusted"
WPS013202,"PPI Commodity data for Farm products-Slaughter sows, seasonally adjusted"
WPS0133,"PPI Commodity data for Farm products-Slaughter lambs, seasonally adjusted"
WPS013301,"PPI Commodity data for Farm products-Slaughter lambs, seasonally adjusted"
WPS014,"PPI Commodity data for Farm products-Slaughter poultry, seasonally adjusted"
WPS0141,"PPI Commodity data for Farm products-Slaughter chickens, seasonally adjusted"
WPS014102,"PPI Commodity data for Farm products-Broilers and other meat type chickens, seasonally adjusted"
WPS0142,"PPI Commodity data for Farm products-Slaughter turkeys, seasonally adjusted"
WPS014201,"PPI Commodity data for Farm products-Slaughter turkeys, seasonally adjusted"
WPS0143,"PPI Commodity data for Farm products-Slaughter ducks, seasonally adjusted"
WPS014301,"PPI Commodity data for Farm products-Slaughter ducks, seasonally adjusted"
